label,message
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
spam,Congratulations! You won a FREE iPhone. Claim now! Just click the button below and win!
ham,See you at the meeting tomorrow at 3pm
spam,Limited time offer! Buy now and get 90% discount!!!
ham,"Just finished work, heading home soon"
spam,FREE! Click here to win $1000 now!!!
ham,"Hey, how are you doing today?"
spam,URGENT! Your account needs verification. Click link.
ham,"Thanks for the help yesterday, really appreciate it"
